"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 05, 2019","21,847.78","21,517.16","21,942.07","21,412.33","531.62M","1.18%"
"Feb 04, 2019","21,592.05","21,758.19","21,926.88","21,535.79","1.21B","0.84%"
"Feb 01, 2019","21,412.99","21,420.40","21,529.47","21,171.55","332.83M","0.74%"
"Jan 31, 2019","21,255.75","21,031.95","21,339.90","20,921.95","346.74M","1.46%"
"Jan 30, 2019","20,950.81","21,020.34","21,044.27","20,840.47","254.40M","0.49%"
"Jan 29, 2019","20,848.09","20,815.85","20,928.17","20,589.50","300.23M","0.16%"
"Jan 28, 2019","20,814.60","20,996.81","21,014.77","20,682.47","241.00M","-0.65%"
"Jan 25, 2019","20,951.27","21,000.32","21,099.63","20,902.03","320.00M","0.07%"
"Jan 24, 2019","20,935.62","20,919.51","21,015.51","20,838.13","198.00M","0.14%"
"Jan 23, 2019","20,907.00","21,200.01","21,223.96","20,845.48","195.00M","-1.16%"
"Jan 22, 2019","21,151.59","20,979.91","21,184.62","20,848.37","282.00M","0.90%"
"Jan 21, 2019","20,962.63","21,016.70","21,045.98","20,908.78","172.00M","0.06%"
"Jan 18, 2019","20,949.82","21,015.13","21,116.73","20,908.69","147.00M","-0.36%"
"Jan 17, 2019","21,025.26","20,944.89","21,143.21","20,942.16","246.00M","0.38%"
"Jan 16, 2019","20,945.82","20,905.26","21,055.02","20,905.26","259.00M","-0.13%"
"Jan 15, 2019","20,973.35","20,957.31","21,022.18","20,889.90","253.00M","0.30%"
"Jan 14, 2019","20,911.45","21,009.94","21,009.94","20,823.27","152.00M","-0.05%"
"Jan 11, 2019","20,921.72","20,999.61","21,030.45","20,899.07","358.00M","-0.28%"
"Jan 10, 2019","20,980.76","20,838.50","21,024.88","20,783.37","319.08M","0.71%"
"Jan 09, 2019","20,832.55","20,811.10","20,875.32","20,745.00","508.00M","0.33%"
"Jan 08, 2019","20,763.45","20,785.35","20,841.17","20,711.70","0.86K","-0.12%"
"Jan 07, 2019","20,787.60","20,784.78","20,967.37","20,669.74","0.61K","1.06%"
"Jan 04, 2019","20,568.90","20,605.53","20,712.57","20,449.70","0.33K","-0.19%"
"Jan 03, 2019","20,608.63","20,709.20","20,820.67","20,579.28","299.00M","-0.30%"
"Jan 02, 2019","20,671.64","20,745.23","20,844.37","20,630.77","0.39K","-0.55%"
"Jan 01, 2019","20,785.22","20,749.84","20,817.91","20,644.40","361.00M","0.44%"
"Dec 31, 2018","20,694.63","20,613.05","20,805.38","20,581.30","0.35K","0.69%"
"Dec 28, 2018","20,552.37","20,284.50","20,604.97","20,272.53","0.57K","2.15%"
"Dec 27, 2018","20,120.18","20,271.34","20,394.91","20,044.72","0.35K","-0.05%"
"Dec 26, 2018","20,131.23","20,067.63","20,224.88","19,801.57","429.00M","0.29%"
"Dec 24, 2018","20,072.57","20,446.10","20,454.08","20,026.27","0.42K","-1.67%"
"Dec 21, 2018","20,413.65","20,841.83","20,861.51","20,341.57","2.22K","-2.04%"
"Dec 20, 2018","20,838.72","20,889.03","20,947.80","20,766.26","1.76K","-0.23%"
"Dec 19, 2018","20,885.95","20,942.76","21,018.64","20,841.43","2.66B","0.07%"
"Dec 18, 2018","20,870.69","20,886.21","20,936.37","20,812.57","4.19K","-0.02%"
"Dec 17, 2018","20,873.83","20,981.99","21,004.71","20,806.55","3.58K","-0.27%"
"Dec 14, 2018","20,929.91","20,985.25","21,057.18","20,814.04","10.02B","-0.31%"
"Dec 13, 2018","20,994.34","20,760.10","21,092.24","20,638.32","5.22B","1.40%"
"Dec 12, 2018","20,704.24","20,520.84","20,725.30","20,442.84","1.68B","0.99%"
"Dec 11, 2018","20,500.68","19,895.56","20,572.43","19,728.73","2.07B","2.60%"
"Dec 10, 2018","19,981.44","20,253.45","20,253.45","19,898.31","1.62B","-1.30%"
"Dec 07, 2018","20,243.90","20,300.00","20,310.08","20,039.86","2.57B","0.47%"
"Dec 06, 2018","20,148.62","20,437.26","20,444.30","20,075.80","2.06B","-1.45%"
"Dec 05, 2018","20,444.63","20,526.59","20,526.59","20,250.03","2.01B","-0.50%"
"Dec 04, 2018","20,548.39","20,706.61","20,729.79","20,519.68","2.13B","-0.61%"
"Dec 03, 2018","20,674.90","20,588.14","20,714.87","20,494.92","2.40B","0.72%"
"Nov 30, 2018","20,526.45","20,533.84","20,591.99","20,402.37","2.11B","0.14%"
"Nov 29, 2018","20,497.25","20,291.25","20,559.81","20,278.38","2.41B","1.30%"
"Nov 28, 2018","20,233.52","20,161.75","20,358.15","20,108.35","2.43B","0.52%"
"Nov 27, 2018","20,128.08","20,100.57","20,197.88","20,028.54","1.33B","-0.20%"
"Nov 26, 2018","20,167.95","20,067.74","20,208.98","19,797.52","1.53B","0.71%"
"Nov 22, 2018","20,025.20","20,392.89","20,394.70","19,987.96","1.56B","-1.06%"
"Nov 21, 2018","20,239.35","20,142.22","20,277.98","20,072.88","2.80B","0.75%"
"Nov 20, 2018","20,088.76","20,286.33","20,329.29","20,043.37","2.84B","-1.08%"
"Nov 19, 2018","20,308.20","20,130.21","20,344.56","20,089.23","3.76B","0.91%"
"Nov 16, 2018","20,126.05","20,124.70","20,210.94","20,002.50","4.79B","0.25%"
"Nov 15, 2018","20,076.66","19,615.94","20,132.88","19,615.94","6.23B","1.60%"
"Nov 14, 2018","19,760.20","19,778.68","19,915.67","19,688.66","3.32B","-0.07%"
"Nov 13, 2018","19,773.43","19,793.97","19,856.75","19,527.59","3.19B","-0.04%"
"Nov 12, 2018","19,780.79","19,608.42","19,909.65","19,465.88","8.09B","1.38%"
"Nov 09, 2018","19,512.03","19,394.94","19,595.84","19,160.32","8.33B","0.85%"
"Nov 07, 2018","19,347.47","19,357.81","19,386.15","19,282.33","1.02B","0.52%"
"Nov 06, 2018","19,248.15","19,718.39","19,779.56","19,170.95","8.67B","-1.79%"
"Nov 05, 2018","19,598.45","19,718.95","19,741.47","19,539.26","10.47B","-0.51%"
"Nov 02, 2018","19,698.69","19,574.79","19,815.06","19,437.11","9.44B","1.85%"
"Nov 01, 2018","19,340.13","19,205.82","19,424.87","19,090.51","4.65B","1.03%"
"Oct 31, 2018","19,142.33","18,731.89","19,174.88","18,613.79","2.44B","2.32%"
"Oct 30, 2018","18,707.60","18,788.97","18,900.05","18,581.11","2.01B","0.23%"
"Oct 29, 2018","18,665.60","18,402.68","18,739.81","18,237.83","1.07B","2.37%"
"Oct 26, 2018","18,233.12","18,220.72","18,579.86","18,023.95","2.27B","0.14%"
"Oct 25, 2018","18,207.11","18,251.06","18,261.88","18,003.60","1.72B","-0.42%"
"Oct 24, 2018","18,284.42","18,051.60","18,334.43","18,016.05","1.34B","1.62%"
"Oct 23, 2018","17,993.01","17,984.39","18,158.13","17,851.75","2.39B","-0.12%"
"Oct 22, 2018","18,014.18","18,239.78","18,364.95","17,976.90","1.53B","-1.27%"
"Oct 19, 2018","18,246.22","18,491.05","18,498.49","18,112.44","1.94B","-0.68%"
"Oct 17, 2018","18,370.39","18,699.71","18,787.05","18,321.18","1.31B","-1.17%"
"Oct 16, 2018","18,587.77","18,622.31","18,746.32","18,543.24","1.26B","0.43%"
"Oct 15, 2018","18,507.39","18,876.20","18,878.91","18,393.60","1.20B","-1.21%"
"Oct 12, 2018","18,733.78","18,362.13","18,802.45","18,362.13","1.22B","2.33%"
"Oct 11, 2018","18,307.99","18,383.49","18,599.64","17,997.23","1.96B","-1.47%"
"Oct 10, 2018","18,580.34","18,027.90","18,657.01","17,854.07","1.74B","3.77%"
"Oct 09, 2018","17,904.60","18,735.21","18,744.12","17,738.55","2.66B","-3.91%"
"Oct 08, 2018","18,632.89","18,707.55","18,713.79","18,249.61","2.20B","-0.14%"
"Oct 05, 2018","18,659.66","18,678.39","18,944.57","18,465.53","3.16B","0.62%"
"Oct 04, 2018","18,545.45","18,673.13","18,721.21","18,296.13","1.76B","-1.51%"
"Oct 03, 2018","18,830.37","19,164.64","19,164.64","18,714.83","2.45B","-0.83%"
"Oct 01, 2018","18,987.48","18,964.91","19,094.54","18,521.33","3.06B","-0.77%"
"Sep 28, 2018","19,134.28","19,688.51","19,785.70","18,944.08","1.99B","-2.23%"
"Sep 27, 2018","19,571.14","20,037.13","20,095.95","19,497.25","1.60B","-1.43%"
"Sep 26, 2018","19,855.97","20,057.99","20,190.09","19,778.93","1.04B","0.14%"
"Sep 25, 2018","19,827.56","19,818.63","20,081.89","19,472.24","1.65B","0.24%"
"Sep 24, 2018","19,779.34","20,058.52","20,106.20","19,526.89","2.17B","-1.54%"
"Sep 21, 2018","20,087.92","20,312.25","20,453.37","19,447.76","2.35B","-0.68%"
"Sep 19, 2018","20,225.57","20,322.19","20,322.19","20,029.04","1.51B","-0.80%"
"Sep 18, 2018","20,389.43","20,519.07","20,617.48","20,334.02","1.19B","-0.42%"
"Sep 17, 2018","20,476.45","20,680.29","20,700.54","20,405.14","1.80B","-1.25%"
"Sep 14, 2018","20,735.88","20,416.40","20,803.88","20,414.68","1.52B","2.26%"
"Sep 12, 2018","20,277.45","20,204.78","20,370.12","19,783.47","2.60B","0.66%"
"Sep 11, 2018","20,144.04","20,719.16","20,772.87","20,075.54","2.18B","-2.47%"
"Sep 10, 2018","20,654.78","20,902.69","21,032.65","20,555.04","1.06B","-1.02%"
"Sep 07, 2018","20,866.98","20,885.77","21,046.64","20,754.24","1.07B","0.32%"
"Sep 06, 2018","20,800.96","20,911.90","21,002.58","20,733.95","1.18B","-0.13%"
"Sep 05, 2018","20,827.56","21,277.21","21,324.71","20,611.99","1.78B","-1.85%"
"Sep 04, 2018","21,219.06","21,901.38","22,038.90","21,154.29","2.20B","-2.58%"
"Sep 03, 2018","21,781.67","21,776.06","22,015.57","21,717.87","3.90B","0.39%"
"Aug 31, 2018","21,696.40","21,605.00","21,828.77","21,588.53","946.00M","0.43%"
"Aug 30, 2018","21,604.08","21,654.43","21,771.11","21,553.73","1.12B","-0.26%"
"Aug 29, 2018","21,659.53","21,742.87","21,831.32","21,587.57","2.71B","-0.14%"
"Aug 28, 2018","21,690.54","21,997.94","22,007.92","21,542.88","1.63B","-0.82%"
"Aug 27, 2018","21,870.27","21,826.24","21,908.42","21,765.64","1.24B","1.04%"
"Aug 24, 2018","21,645.90","21,841.14","21,917.08","21,600.11","1.81B","-0.79%"
"Aug 23, 2018","21,818.56","21,896.58","21,990.35","21,739.37","1.78B","-0.11%"
"Aug 21, 2018","21,843.60","22,001.70","22,036.27","21,735.27","1.47B","-0.35%"
