"Date","Price","Open","High","Low","Vol.","Change %"
"Sep 21, 2018","15,469.67","15,635.40","15,635.40","15,220.26","8.89M","-1.08%"
"Sep 19, 2018","15,638.70","15,690.01","15,716.74","15,571.15","5.36M","0.15%"
"Sep 18, 2018","15,615.49","15,782.95","15,793.62","15,599.97","8.80M","-0.70%"
"Sep 17, 2018","15,726.06","15,764.43","15,851.74","15,703.24","5.74M","-0.13%"
"Sep 14, 2018","15,746.67","15,726.93","15,776.52","15,578.82","4.85M","0.01%"
"Sep 12, 2018","15,745.76","15,777.13","15,805.43","15,686.90","5.72M","0.46%"
"Sep 11, 2018","15,673.92","15,832.86","15,902.44","15,658.30","6.14M","-0.70%"
"Sep 10, 2018","15,783.88","15,822.12","15,928.50","15,765.81","5.29M","0.02%"
"Sep 07, 2018","15,780.72","15,776.99","15,809.75","15,654.50","6.94M","0.41%"
"Sep 06, 2018","15,716.74","15,750.88","15,773.97","15,613.42","4.47M","0.13%"
"Sep 05, 2018","15,696.03","15,833.35","15,890.87","15,667.39","5.57M","-0.37%"
"Sep 04, 2018","15,753.65","15,532.43","15,857.21","15,510.34","6.41M","1.93%"
"Sep 03, 2018","15,455.43","15,707.89","15,756.98","15,445.56","7.13M","-0.60%"
"Aug 31, 2018","15,548.52","15,379.06","15,577.73","15,377.41","7.28M","1.38%"
"Aug 30, 2018","15,337.27","15,301.61","15,361.96","15,236.31","5.03M","0.32%"
"Aug 29, 2018","15,288.18","15,419.93","15,425.29","15,223.99","5.09M","-0.41%"
"Aug 28, 2018","15,351.47","15,306.58","15,414.51","15,288.40","4.69M","0.44%"
"Aug 27, 2018","15,284.87","15,075.37","15,303.88","15,074.30","4.66M","1.54%"
"Aug 24, 2018","15,053.31","15,126.79","15,194.55","15,029.31","13.00M","-0.60%"
"Aug 23, 2018","15,144.37","15,017.01","15,175.01","15,017.01","7.47M","1.16%"
"Aug 21, 2018","14,970.28","14,938.77","15,021.91","14,898.04","7.26M","0.45%"
"Aug 20, 2018","14,903.00","14,939.17","14,990.26","14,849.30","6.08M","-1.25%"
"Aug 17, 2018","15,091.84","15,085.95","15,114.37","14,994.92","4.77M","0.51%"
"Aug 16, 2018","15,015.54","14,960.33","15,092.01","14,952.74","7.43M","0.58%"
"Aug 14, 2018","14,929.29","14,871.21","15,043.63","14,843.06","6.70M","0.43%"
"Aug 13, 2018","14,865.80","14,700.66","14,882.76","14,682.58","7.06M","1.24%"
"Aug 10, 2018","14,683.53","14,638.35","14,700.67","14,586.20","7.10M","0.50%"
"Aug 09, 2018","14,610.88","14,607.05","14,668.16","14,593.82","5.23M","0.30%"
"Aug 08, 2018","14,566.61","14,589.59","14,624.63","14,505.92","6.54M","-0.12%"
"Aug 07, 2018","14,583.56","14,624.30","14,666.60","14,543.36","7.03M","0.09%"
"Aug 06, 2018","14,570.06","14,658.45","14,702.80","14,529.09","6.21M","-0.24%"
"Aug 03, 2018","14,604.43","14,551.39","14,623.29","14,539.46","8.39M","0.74%"
"Aug 02, 2018","14,497.23","14,608.45","14,660.47","14,482.12","5.20M","-0.60%"
"Aug 01, 2018","14,584.78","14,562.75","14,605.71","14,524.73","6.39M","0.40%"
"Jul 31, 2018","14,527.23","14,400.63","14,562.59","14,346.99","9.94M","0.81%"
"Jul 30, 2018","14,411.05","14,592.12","14,592.12","14,394.97","9.92M","-0.73%"
"Jul 27, 2018","14,516.97","14,559.92","14,582.01","14,491.39","7.28M","-0.02%"
"Jul 26, 2018","14,519.87","14,579.17","14,627.44","14,480.83","7.35M","-0.68%"
"Jul 25, 2018","14,618.69","14,694.11","14,715.28","14,570.42","6.91M","-0.34%"
"Jul 24, 2018","14,668.40","14,652.55","14,691.96","14,583.37","6.82M","0.54%"
"Jul 23, 2018","14,589.02","14,613.39","14,651.38","14,480.73","4.41M","0.12%"
"Jul 20, 2018","14,572.16","14,383.21","14,659.38","14,383.21","5.44M","1.51%"
"Jul 19, 2018","14,355.39","14,483.22","14,538.06","14,300.81","4.82M","-0.79%"
"Jul 18, 2018","14,470.30","14,578.37","14,628.14","14,418.50","5.50M","-0.12%"
"Jul 17, 2018","14,488.38","14,505.04","14,584.96","14,408.59","5.00M","-0.07%"
"Jul 16, 2018","14,498.59","14,457.13","14,732.90","14,302.44","7.81M","0.78%"
