Date,Open,High,Low,Close,Adj Close,Volume,Google
7/26/2021,148.270004,149.830002,142.539993,145.860001,145.641785,423265400,33
8/2/2021,146.360001,148.039993,145.179993,146.139999,145.921371,284500000,34
8/9/2021,146.199997,149.440002,145.300003,149.100006,149.100006,298026700,33
8/16/2021,148.539993,151.679993,144.5,148.190002,148.190002,428759400,33
8/23/2021,148.309998,150.860001,146.830002,148.600006,148.600006,272048200,34
8/30/2021,149,154.979996,148.610001,154.300003,154.300003,386647700,34
9/6/2021,154.970001,157.259995,148.699997,148.970001,148.970001,354650600,36
9/13/2021,150.630005,151.419998,145.759995,146.059998,146.059998,492744700,56
9/20/2021,143.800003,147.470001,141.270004,146.919998,146.919998,393989600,43
9/27/2021,145.470001,145.960007,141.279999,141.5,141.5,346659200,42
,,,,,,,
