date,AAPL,overlap,MSFT,NVDA,V,MA,AVGO,CSCO,ACN,CRM,ADBE
2017-10-07,4.0,,4.0,5.0,74.0,61.0,9.0,7.0,58.0,35.0,4.0
2017-10-08,3.0,,3.0,2.0,74.0,61.0,9.0,3.0,18.0,35.0,11.0
2017-10-09,11.0,,13.0,22.0,70.0,58.0,12.0,12.0,74.0,72.0,13.0
2017-10-10,11.0,,18.0,24.0,64.0,60.0,15.0,24.0,58.0,81.0,9.0
2017-10-11,15.0,,13.0,23.0,60.0,61.0,12.0,21.0,71.0,68.0,6.0
2017-10-12,16.0,,18.0,21.0,60.0,62.0,16.0,19.0,69.0,78.0,3.0
2017-10-13,9.0,,18.0,31.0,60.0,59.0,16.0,3.0,58.0,71.0,10.0
2017-10-14,3.0,,6.0,7.0,74.0,62.0,5.0,11.0,57.0,24.0,0.0
2017-10-15,3.0,,4.0,6.0,70.0,58.0,5.0,0.0,63.0,37.0,4.0
2017-10-16,13.0,,13.0,27.0,63.0,64.0,16.0,6.0,83.0,82.0,9.0
2017-10-17,11.0,,10.0,21.0,62.0,61.0,16.0,15.0,74.0,80.0,9.0
2017-10-18,13.0,,16.0,18.0,64.0,60.0,8.0,15.0,83.0,72.0,22.0
