date,Apple,,apple,aapl,apple store,apple watch,apple iphone,iphone,apple music,aapl stock price,aapl stock,apple pay,apple macbook,apple support,apple watch series 3,apple 4 watch,airpods,semiconductor,TSMC,apple factory,apple earnings,aapl earnings
9/6/2017,24,,24,14,37,16,13,27,18,34,26,14,52,53,1,0,2,40,16,35,0,0
9/7/2017,23,,23,13,36,14,12,27,17,19,23,14,45,52,1,0,2,66,13,18,0,1
9/8/2017,24,,24,11,37,14,11,25,15,24,19,15,38,54,2,0,2,44,19,17,1,0
9/9/2017,25,,25,3,38,15,13,29,20,12,5,12,43,52,2,0,2,23,18,8,0,0
9/10/2017,26,,26,2,38,17,14,30,16,3,3,16,44,46,2,1,2,35,6,5,1,0
9/11/2017,29,,29,21,39,15,19,33,15,47,37,15,38,50,2,0,2,54,18,18,1,3
9/12/2017,94,,94,55,69,51,100,99,18,54,64,20,55,68,27,2,4,69,21,36,2,3
9/13/2017,64,,64,36,76,61,62,100,24,64,35,24,46,61,37,2,5,76,21,20,0,0
9/14/2017,39,,39,19,49,40,27,54,16,34,27,22,44,50,20,2,4,80,13,14,1,0
9/15/2017,38,,38,16,66,43,25,47,17,43,25,13,40,58,24,1,4,55,19,14,2,3
9/16/2017,36,,36,5,54,35,20,44,22,12,7,23,44,54,14,1,4,32,9,13,0,0
9/17/2017,34,,34,3,46,33,19,38,24,6,5,21,36,63,17,2,3,37,3,33,0,0
9/18/2017,30,,30,14,47,26,15,34,19,47,24,17,44,60,10,1,3,63,16,11,0,3
9/19/2017,30,,30,16,45,26,16,34,18,26,23,22,49,55,10,4,3,58,5,16,0,6
9/20/2017,32,,32,19,47,31,16,35,23,42,24,25,49,76,14,5,3,70,16,11,0,0
9/21/2017,31,,31,20,48,28,16,34,22,31,35,19,46,70,12,2,3,51,16,39,3,3
9/22/2017,35,,35,21,52,37,20,40,24,22,21,22,42,81,15,2,4,62,14,26,4,6
9/23/2017,36,,36,8,60,36,20,43,24,3,8,18,45,65,17,2,3,22,15,21,0,0
