Date, Open, High, Low, Close
05/24/18, 841.15, 842.92, 842.92, 842.92
05/23/18, 834.82, 841.19, 841.19, 841.19
05/22/18, 839.35, 834.83, 834.83, 834.83
05/21/18, 834.29, 838.85, 838.85, 838.85
05/18/18, 832.17, 834.25, 834.25, 834.25
05/17/18, 837.80, 835.24, 835.24, 835.24
05/16/18, 830.93, 837.94, 837.94, 837.94
05/15/18, 835.98, 831.02, 831.02, 831.02
05/14/18, 834.78, 836.11, 836.11, 836.11
05/11/18, 833.07, 834.81, 834.81, 834.81
05/10/18, 829.99, 832.93, 832.93, 832.93
05/09/18, 827.02, 830.01, 830.01, 830.01
05/08/18, 830.81, 827.12, 827.12, 827.12
05/07/18, 828.07, 830.82, 830.82, 830.82
05/04/18, 817.12, 827.84, 827.84, 827.84
05/03/18, 820.76, 817.16, 817.16, 817.16
05/02/18, 826.62, 820.78, 820.78, 820.78
05/01/18, 825.29, 826.64, 826.64, 826.64
04/30/18, 828.39, 825.31, 825.31, 825.31
04/27/18, 824.77, 828.41, 828.41, 828.41
04/26/18, 811.38, 824.27, 824.27, 824.27
04/25/18, 808.32, 811.39, 811.39, 811.39
04/24/18, 821.22, 808.32, 808.32, 808.32
04/23/18, 819.53, 821.30, 821.30, 821.30
04/20/18, 828.02, 819.52, 819.52, 819.52
04/19/18, 830.85, 827.99, 827.99, 827.99
04/18/18, 826.95, 831.02, 831.02, 831.02
04/17/18, 811.77, 826.94, 826.94, 826.94
04/16/18, 805.73, 811.76, 811.76, 811.76
04/13/18, 810.33, 805.73, 805.73, 805.73
04/12/18, 806.73, 810.32, 810.32, 810.32
04/11/18, 809.26, 806.71, 806.71, 806.71
04/10/18, 799.69, 809.31, 809.31, 809.31
04/09/18, 801.52, 799.63, 799.63, 799.63
04/06/18, 818.56, 801.62, 801.62, 801.62
04/05/18, 808.11, 819.16, 819.16, 819.16
04/04/18, 793.68, 808.11, 808.11, 808.11
04/03/18, 784.09, 793.72, 793.72, 793.72
04/02/18, 806.94, 784.11, 784.11, 784.11
03/29/18, 792.81, 806.97, 806.97, 806.97
