date,UNH,overlap,JNJ,PFE,TMO,ABT,ABBV,LLY,DHR,MRK,MDT
2017-10-08,50.0,,7.0,8.0,16.0,51.0,0.0,19.0,9.0,6.0,38.0
2017-10-09,33.0,,16.0,27.0,37.0,55.0,11.0,28.0,37.0,4.0,50.0
2017-10-10,50.0,,16.0,29.0,44.0,59.0,5.0,61.0,32.0,13.0,61.0
2017-10-11,53.0,,18.0,22.0,32.0,64.0,0.0,5.0,45.0,12.0,63.0
2017-10-12,38.0,,18.0,28.0,58.0,65.0,17.0,29.0,63.0,14.0,41.0
2017-10-13,47.0,,20.0,7.0,18.0,60.0,9.0,35.0,47.0,12.0,71.0
2017-10-14,62.0,,5.0,20.0,28.0,58.0,0.0,25.0,14.0,9.0,33.0
2017-10-15,51.0,,10.0,16.0,22.0,51.0,3.0,32.0,19.0,4.0,18.0
2017-10-16,48.0,,23.0,31.0,30.0,100.0,0.0,66.0,57.0,12.0,58.0
2017-10-17,78.0,,28.0,26.0,19.0,36.0,5.0,22.0,28.0,5.0,42.0
2017-10-18,39.0,,28.0,33.0,24.0,56.0,16.0,33.0,61.0,10.0,58.0
